file,n,mean,std,min,max,p5,p95,range,rms
Mesures27062024_173.txt,1000,20872.803630000002,4143.303447304279,13888.89,27956.24,14451.6885,27343.858,14067.350000000002,21280.05861911533
Mesures27062024_174.txt,1000,21017.18251,4135.496598947362,13976.79,28106.29,14561.6075,27495.965500000002,14129.5,21420.18423773603
Mesures27062024_175.txt,1000,20557.18185,4062.58308769466,13632.26,27535.31,14205.976999999999,26930.136,13903.050000000001,20954.768119890807
Mesures27062024_176.txt,1000,20267.510850000002,3999.678321819091,13511.89,27162.45,14063.236,26580.5975,13650.560000000001,20658.39835836499
Mesures27062024_177.txt,1000,20622.133859999998,4062.2924343950053,13745.31,27655.0,14312.290500000001,27050.5995,13909.69,21018.435354761816
Mesures27062024_178.txt,1000,20855.38857,4148.327449177904,13863.66,27997.84,14441.6815,27381.112499999996,14134.18,21263.956664536578
Mesures27062024_179.txt,1000,21125.89865,4138.821099049858,14069.97,28226.05,14662.461000000001,27620.7515,14156.08,21527.5041251886
Mesures27062024_18.txt,1000,4762.75212,924.2821704566769,3177.3,6322.94,3307.44,6190.8675,3145.6399999999994,4851.60852575603
Mesures27062024_180.txt,1000,20288.67745,4045.9069621421595,13472.7,27158.94,14017.8515,26583.237,13686.239999999998,20688.155930784378
Mesures27062024_181.txt,1000,21212.93506,4208.371292313096,14126.24,28444.51,14702.0885,27831.597999999998,14318.269999999999,21626.349733455765
Mesures27062024_182.txt,1000,20613.236009999997,4077.2711418256426,13698.56,27608.9,14275.514500000001,27002.656499999997,13910.340000000002,21012.606662856582
Mesures27062024_183.txt,1000,20834.911490000002,4117.142327243239,13844.7,27846.1,14427.609,27257.176499999998,14001.399999999998,21237.8058598084
Mesures27062024_184.txt,1000,20627.55482,4065.6333414304795,13699.3,27605.57,14283.836500000001,27009.242,13906.27,21024.39992768061
Mesures27062024_185.txt,1000,20412.374979999997,4035.3631073503657,13572.91,27375.33,14127.1335,26772.6465,13802.420000000002,20807.431550585345
