offset_s,score,n_pairs,best_feature_HA,best_corr_HA,best_corr_Abs
32352,0.990038278967191,343,F_mean,0.9906500599429691,
32353,0.9897035109057135,341,F_mean,0.9902867764324101,
32354,0.9894655717767342,343,F_mean,0.9900782172778538,
32355,0.9889801580486246,341,F_area_total,0.9896118710970738,
32356,0.9887508240489915,343,F_area_total,0.9893960627202597,
32357,0.9883022284302363,341,F_area_total,0.9889489566589836,
32358,0.9880958871451384,343,F_mean,0.9887621844217822,
32359,0.9875843833416758,341,F_area_total,0.9882560650348405,
32360,0.9873497767387182,343,F_area_total,0.9880412202987471,
32361,0.9867614212328734,341,F_mean,0.9874619090936975,
32362,0.9864401281733792,343,F_mean,0.9871632859263412,
32363,0.9858110640020381,341,F_area_total,0.9865294533377926,
32364,0.9855517306556865,343,F_mean,0.986292994172798,
32365,0.9849451187965699,341,F_mean,0.9856862411911147,
32366,0.9846865006084771,343,F_mean,0.9854453161422039,
32367,0.9840556252863005,341,F_mean,0.9848216029393483,
32368,0.9837059713716403,343,F_area_total,0.9845040102637082,
32369,0.9828976975828188,341,F_area_total,0.9836937075529962,
32370,0.9824917196865204,343,F_mean,0.9833070662362913,
32371,0.9818024278653958,341,F_mean,0.9826125432777609,
32372,0.9814463292101623,343,F_area_total,0.9822554639076272,
32373,0.9805759807020588,341,F_mean,0.9814011119850939,
32374,0.9802680430270885,343,F_area_total,0.981114198727055,
32375,0.9794716485133265,341,F_mean,0.9803284118625067,
32376,0.9791681920744759,343,F_mean,0.9800420827251025,
32377,0.9781656210715186,341,F_mean,0.9790375099750087,
32378,0.9776988175354596,343,F_area_total,0.9786171777896253,
32379,0.9768055092039216,341,F_mean,0.9777330212066235,
32380,0.9762116811575284,343,F_mean,0.977157852150917,
32381,0.9750440198375809,341,F_area_total,0.9760223227381644,
32382,0.974634148869217,343,F_mean,0.9756348819923809,
32383,0.9736102746712846,341,F_mean,0.9746093093290301,
32384,0.9730885813117895,343,F_area_total,0.9741253386986952,
32385,0.9718195018797735,341,F_area_total,0.9728931495701687,
32386,0.9712643527620886,343,F_mean,0.9723237770426132,
32387,0.9699654235789583,341,F_area_total,0.9710342164409428,
32388,0.9693455625441336,343,F_area_total,0.9704420836785844,
32389,0.9681230514230651,341,F_area_total,0.9692456472895901,
32390,0.9675384643151238,343,F_area_total,0.9686795106825103,
32391,0.966153228567481,341,F_mean,0.967347270570795,
32392,0.9654410801575283,343,F_mean,0.9666461139642245,
