t,I,I0,A
382,10126.04,10126.04,-0.0
383,10138.0,10138.0,-0.0
384,10149.85,10149.85,-0.0
385,10161.7,10161.7,-0.0
386,10173.63,10173.63,-0.0
387,10185.48,10185.48,-0.0
388,10197.19,10197.19,-0.0
389,10209.38,10209.38,-0.0
390,10221.36,10221.36,-0.0
391,10233.42,10233.42,-0.0
392,10245.14,10245.14,-0.0
393,10257.25,10257.25,-0.0
394,10269.25,10269.25,-0.0
395,10281.33,10281.33,-0.0
396,10293.47,10293.47,-0.0
397,10305.32,10305.32,-0.0
398,10317.54,10317.54,-0.0
399,10329.35,10329.35,-0.0
400,10341.24,10341.24,-0.0
401,10353.3,10353.3,-0.0
402,10365.03,10365.03,-0.0
403,10376.8,10376.8,-0.0
404,10387.87,10387.87,-0.0
405,10399.65,10399.65,-0.0
406,10411.58,10411.58,-0.0
407,10423.47,10423.47,-0.0
408,10434.92,10434.92,-0.0
409,10446.54,10446.54,-0.0
410,10458.32,10458.32,-0.0
411,10469.88,10469.88,-0.0
412,10481.47,10481.47,-0.0
413,10492.92,10492.92,-0.0
414,10504.59,10504.59,-0.0
415,10515.98,10515.98,-0.0
416,10527.74,10527.74,-0.0
417,10538.7,10538.7,-0.0
418,10550.0,10550.0,-0.0
419,10561.45,10561.45,-0.0
420,10572.84,10572.84,-0.0
421,10584.33,10584.33,-0.0
422,10595.54,10595.54,-0.0
423,10606.95,10606.95,-0.0
424,10618.5,10618.5,-0.0
425,10629.87,10629.87,-0.0
426,10641.43,10641.43,-0.0
427,10652.63,10652.63,-0.0
428,10664.23,10664.23,-0.0
429,10675.29,10675.29,-0.0
430,10686.49,10686.49,-0.0
431,10697.75,10697.75,-0.0
432,10709.04,10709.04,-0.0
433,10720.39,10720.39,-0.0
434,10731.99,10731.99,-0.0
435,10743.21,10743.21,-0.0
436,10754.6,10754.6,-0.0
437,10765.72,10765.72,-0.0
438,10777.17,10777.17,-0.0
439,10788.07,10788.07,-0.0
440,10799.66,10799.66,-0.0
441,10810.9,10811.154790307115,2.35676312541394e-05
442,10822.18,10822.795151665188,5.6840135970932746e-05
443,10833.24,10834.43551302326,0.00011034991028502493
444,10845.07,10846.075874381331,9.274515858939138e-05
445,10856.43,10857.716235739405,0.00011846984237319233
446,10868.13,10869.356597097476,0.00011285546682684326
447,10879.49,10880.996958455547,0.00013850411168035096
448,10891.03,10892.63731981362,0.0001475710947049413
449,10902.69,10904.277681171692,0.00014561228298307907
450,10914.53,10915.918042529764,0.0001271657392399428
451,10926.04,10927.558403887837,0.00013896145268318027
452,10937.55,10939.198765245908,0.00015073220127210566
453,10949.37,10950.83912660398,0.00013416553218187222
454,10960.96,10962.479487962053,0.0001386176621895004
455,10972.71,10974.119849320125,0.00012847863055796927
456,10984.32,10985.760210678196,0.0001311065473087602
457,10995.91,10997.40057203627,0.00013554776427759192
458,11007.52,11009.040933394343,0.0001381626677629368
459,11019.19,11020.681294752412,0.00013532699304306256
460,11030.66,11032.321656110485,0.0001506284272477003
461,11042.4,11043.962017468559,0.00014144633416117273
462,11053.83,11055.602378826628,0.0001603278456051891
463,11065.46,11067.242740184702,0.0001610955706120384
464,11077.18,11078.883101542775,0.00015373683838353162
465,11088.92,11090.523462900845,0.00014459000347056
466,11100.61,11102.163824258918,0.00013996667927649236
467,11112.42,11113.804185616991,0.00012455427491602153
468,11123.79,11125.44454697506,0.00014872844048788102
469,11135.63,11137.084908333134,0.00013064490262571288
470,11147.19,11148.725269691207,0.0001377175751758169
471,11159.23,11160.365631049279,0.00010176089827353531
472,11170.98,11172.00599240735,9.184022300514408e-05
473,11182.87,11183.646353765424,6.942107152093293e-05
474,11194.61,11195.286715123495,6.04482577397447e-05
475,11206.19,11206.927076481566,6.577188521490853e-05
476,11217.97,11218.56743783964,5.325579683912278e-05
477,11229.55,11230.207799197711,5.85758051160696e-05
478,11241.38,11241.848160555783,4.1645314677050075e-05
479,11253.07,11253.488521913856,3.71911070718663e-05
480,11264.86,11265.128883271927,2.3868921847449784e-05
481,11275.92,11276.769244629999,7.531205003435527e-05
482,11287.47,11288.409605988072,8.32398121369801e-05
483,11299.05,11300.049967346144,8.849620987045748e-05
484,11310.98,11311.690328704215,6.279795392219349e-05
485,11322.37,11323.330690062288,8.484524952550804e-05
486,11333.92,11334.97105142036,9.273073117948144e-05
487,11345.06,11346.611412778431,0.00013673851984080318
488,11356.45,11358.251774136505,0.00015864387375179507
489,11367.31,11369.892135494576,0.00022712869334496483
490,11378.81,11381.532496852647,0.0002392316254474934
491,11389.93,11393.17285821072,0.000284672219829051
492,11400.72,11404.813219568792,0.0003589672360068774
493,11411.93,11416.453580926864,0.0003963119832847043
494,11422.38,11428.093942284937,0.0005001158766742516
495,11433.11,11439.734303643008,0.0005792286906058206
496,11443.76,11451.37466500108,0.000665177592817242
497,11448.73,11463.015026359153,0.001246961171549046
498,11448.21,11474.655387717225,0.0023073380227508307
499,11448.0,11486.295749075296,0.003339608513550564
500,11447.28,11491.672594542564,0.0038705036578540477
